datum,mesto,naslov,sifra_umetnika
2016-01-03,7,Eureka,344897
2016-01-03,8,Love Again,393964
2016-01-03,9,Crossing Space,360792
2016-01-03,10,I (Feat. Verbal Jint),361999
2016-01-10,1,Sing For You,352301
2016-01-10,2,Napal Baji,232588
2016-01-10,3,DADDY (Feat. CL of 2NE1),232588
2016-01-10,4,My Type,
2016-01-10,5,This Love,232559
2016-01-10,6,Again,232551
2016-01-10,7,RUN,347972
2016-01-10,8,Eureka,344897
2016-01-10,9,Love Again,393964
2016-01-10,10,Dear Santa,235872
2016-01-17,1,RUN,347972
2016-01-17,2,Napal Baji,232588
2016-01-17,3,My Type,
2016-01-17,4,Lonely Night,238781
2016-01-17,5,DADDY (Feat. CL of 2NE1),232588
2016-01-17,6,Again,232551
2016-01-17,7,Sing For You,352301
2016-01-17,8,Eureka,344897
2016-01-17,9,Love Again,393964
2016-01-17,10,OOH-AHH하게,364940
2016-01-24,1,Dream,
2016-01-24,2,You Call It Romance,233394
2016-01-24,3,Lonely Night,238781
2016-01-24,4,Sing For You,352301
2016-01-24,5,Again,232551
2016-01-24,6,My Type,
2016-01-24,7,DADDY (Feat. CL of 2NE1),232588
2016-01-24,8,Like OOH-AAH,364940
2016-01-24,9,What If It Was Going,367232
2016-01-24,10,Napal Baji,232588
2016-01-31,1,Dream,
2016-01-31,2,You Call It Romance,233394
2016-01-31,3,Lonely Night,238781
2016-01-31,4,Like OOH-AAH,364940
2016-01-31,5,Love Again,393964
2016-01-31,6,ROCO Drama,233202
2016-01-31,7,Napal Baji,232588
2016-01-31,8,My Type,
2016-01-31,9,DADDY (Feat. CL of 2NE1),232588
2016-01-31,10,What If It Was Going,367232
2016-02-07,1,Warning Sign,234739
2016-02-07,2,Dream,
2016-02-07,3,Like OOH-AAH,364940
2016-02-07,4,You Call It Romance (Feat. Davichi),233394
2016-02-07,5,Lonely Night (Feat. Gaeko),238781
2016-02-07,6,How Much Love Do You Have In Your Wallet,239006
2016-02-07,7,Love Again,393964
2016-02-07,8,Don’t Forget (Feat. Taeyeon),237714
2016-02-07,9,Napal Baji,232588
